stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,wheelchair_boarding,stop_direction
008591,Szent Gellért tér -űegyetem,47.483616,19.053537,,,,1.0,35.0
008593,Móricz Zsigmond körtér,47.476836,19.047188000000002,,,,1.0,-174.0
008597,Sport utca,47.455942,18.948107999999998,,,,1.0,175.0
008598,Baross utca,47.460313,18.958510999999998,,,,1.0,-9.0
008605,Kolosy tér,47.527543,19.036916,,,,1.0,96.0
008642,Székesdűlő,47.611641,19.105779000000002,,,,1.0,56.0
008643,Székesdűlő,47.61094,19.103504,,,,1.0,-119.0
008644,Vízművek,47.599539,19.092791000000002,,,,2.0,34.0
008645,Vízművek,47.600312,19.09331,,,,2.0,-147.0
008646,Áruházi bekötőút,47.386509999999994,19.02263,,,,1.0,-119.0
008647,Áruházi bekötőút,47.386519,19.023121,,,,1.0,64.0
008649,"Székesdűlő, ipartelep",47.615137,19.109254999999997,,,,2.0,22.0
008650,"Székesdűlő, ipartelep",47.61475,19.108806,,,,2.0,-158.0
008651,Auchan Sziget áruház,47.384361,19.02581,,,,1.0,153.0
008652,Auchan Sziget áruház,47.384163,19.025969,,,,1.0,153.0
008670,Auchan Liget,47.541205,19.24703,,,,2.0,135.0
008681,Hidegkuti Nándor Stadion,47.490533,19.110469000000002,,,,2.0,
008684,Albertfalva kitérő,47.452693,19.038524,,,,2.0,-168.0
008685,Albertfalva kitérő,47.452801,19.038960999999997,,,,2.0,9.0
008692,Felsőcsatári köz,47.458756,19.177096,,,,1.0,-173.0
008694,Köztelek utca,47.486933,19.067178,,,,2.0,122.0
008697,Újpest-központ,47.560733,19.090125,,,,1.0,27.0
008702,Ferencvárosi rendelőintézet,47.477154999999996,19.075785,,,,2.0,134.0
008708,Vízművek lakótelep,47.597822,19.091606,,,,2.0,22.0
008724,Albertirsai út,47.500873999999996,19.116122,,,,2.0,
008725,Puskás Ferenc Stadion,47.499864,19.104836,,,,1.0,-115.0
008731,Budagyöngye,47.516073999999996,18.998922,,,,2.0,117.0
008736,Dániel út,47.512863,18.994978,,,,2.0,-57.0
008737,Dániel út,47.512881,18.994739000000003,,,,2.0,125.0
008740,Újbuda-központ,47.474683,19.046385,,,,1.0,-166.0
