service_id,date,exception_type
C04430EVVHCKMK-011,20201231,1
C0443224SZKMK-011,20201224,1
C04662ASZMAA-071,20210102,1
C04662ASZMAA-071,20210109,1
C04662ASZMAA-071,20210116,1
C04662ASZMAA-071,20210123,1
C04662ASZMAA-071,20210130,1
C04812ASZIGy-011,20201219,1
C04812ASZIGy-011,20201224,1
C04812ASZIGy-011,20201225,1
C04812ASZIGy-011,20201226,1
C04812ASZIGy-011,20201231,1
C04812ASZIGy-011,20210102,1
C04812ASZIGy-011,20210109,1
C04812ASZIGy-011,20210116,1
C04812ASZIGy-011,20210123,1
C04812ASZIGy-011,20210130,1
C04926K1HPMAA-091,20201221,1
C04926K1HPMAA-091,20201222,1
C04926K1HPMAA-091,20201223,1
C05398AHPIGy-021,20201221,1
C05398AHPIGy-021,20201222,1
C05398AHPIGy-021,20201223,1
C05398AHPIGy-021,20201228,1
C05398AHPIGy-021,20201229,1
C05398AHPIGy-021,20201230,1
C05398AHPIGy-021,20201231,1
C05398AHPIGy-021,20210104,1
C05398AHPIGy-021,20210105,1
C05398AHPIGy-021,20210106,1
C05398AHPIGy-021,20210107,1
C05398AHPIGy-021,20210108,1
C05398AHPIGy-021,20210111,1
C05398AHPIGy-021,20210112,1
C05398AHPIGy-021,20210113,1
C05398AHPIGy-021,20210114,1
C05398AHPIGy-021,20210115,1
C05398AHPIGy-021,20210118,1
C05398AHPIGy-021,20210119,1
C05398AHPIGy-021,20210120,1
C05398AHPIGy-021,20210121,1
C05398AHPIGy-021,20210122,1
C05398AHPIGy-021,20210125,1
C05398AHPIGy-021,20210126,1
C05398AHPIGy-021,20210127,1
C05398AHPIGy-021,20210128,1
C05398AHPIGy-021,20210129,1
C05398AHPIGy-021,20210201,1
C05399ASVIGy-021,20201225,1
C05399ASVIGy-021,20201226,1
C05399ASVIGy-021,20201227,1
C05399ASVIGy-021,20210101,1
C05399ASVIGy-021,20210102,1
C05399ASVIGy-021,20210103,1
C05399ASVIGy-021,20210109,1
C05399ASVIGy-021,20210110,1
C05399ASVIGy-021,20210116,1
C05399ASVIGy-021,20210117,1
C05399ASVIGy-021,20210123,1
C05399ASVIGy-021,20210124,1
C05399ASVIGy-021,20210130,1
C05399ASVIGy-021,20210131,1
C05776K1HPYM-0011,20201221,1
C05776K1HPYM-0011,20201222,1
C05776K1HPYM-0011,20201223,1
C06009AVVBA-0021,20201225,1
C06009AVVBA-0021,20201226,1
C06009AVVBA-0021,20201227,1
C06009AVVBA-0021,20210101,1
C06009AVVBA-0021,20210103,1
C06009AVVBA-0021,20210110,1
C06009AVVBA-0021,20210117,1
C06009AVVBA-0021,20210124,1
C06009AVVBA-0021,20210131,1
C06142EVVHPMAA-011,20201228,1
C06142EVVHPMAA-011,20201229,1
C06142EVVHPMAA-011,20201230,1
C06142EVVHPMAA-011,20201231,1
C06181EVVHPKMK-021,20201228,1
C06181EVVHPKMK-021,20201229,1
C06181EVVHPKMK-021,20201230,1
C06181EVVHPKMK-021,20201231,1
C06269K1HPHB-0011,20201221,1
C06269K1HPHB-0011,20201222,1
C06269K1HPHB-0011,20201223,1
C06326AVVHB-0011,20201213,1
C06326AVVHB-0011,20201220,1
C06326AVVHB-0011,20201225,1
C06326AVVHB-0011,20201226,1
C06326AVVHB-0011,20201227,1
C06326AVVHB-0011,20210101,1
C06326AVVHB-0011,20210103,1
C06326AVVHB-0011,20210110,1
C06326AVVHB-0011,20210117,1
C06326AVVHB-0011,20210124,1
C06326AVVHB-0011,20210131,1
C06387EVVHPKMK-011,20201228,1
C06387EVVHPKMK-011,20201229,1
C06387EVVHPKMK-011,20201230,1
C06387EVVHPKMK-011,20201231,1
C06392EVVHPSzN-011,20201228,1
C06392EVVHPSzN-011,20201229,1
C06392EVVHPSzN-011,20201230,1
C06392EVVHPSzN-011,20201231,1
C06444ASZYM-0021,20201219,1
C06444ASZYM-0021,20210102,1
C06444ASZYM-0021,20210109,1
C06444ASZYM-0021,20210116,1
C06444ASZYM-0021,20210123,1
C06444ASZYM-0021,20210130,1
C06445AVVYM-0021,20201213,1
C06445AVVYM-0021,20201220,1
C06445AVVYM-0021,20201225,1
C06445AVVYM-0021,20201226,1
C06445AVVYM-0021,20201227,1
C06445AVVYM-0021,20210101,1
C06445AVVYM-0021,20210103,1
C06445AVVYM-0021,20210110,1
C06445AVVYM-0021,20210117,1
C06445AVVYM-0021,20210124,1
C06445AVVYM-0021,20210131,1
C0644624SZYM-0011,20201224,1
C0651424SZSzN-021,20201224,1
C06520EVVHPKMK-011,20201228,1
C06520EVVHPKMK-011,20201229,1
C06520EVVHPKMK-011,20201230,1
C06520EVVHPKMK-011,20201231,1
C0652524SZYM-0011,20201224,1
C06554K1HCMAA-031,20201221,1
C06554K1HCMAA-031,20201222,1
C06558K1PPMAA-031,20201223,1
C06667EVVHPSzN-021,20201228,1
C06667EVVHPSzN-021,20201229,1
C06667EVVHPSzN-021,20201230,1
C06680K1HCMAA-041,20201221,1
C06680K1HCMAA-041,20201222,1
C06682K1PPMAA-041,20201223,1
C0668731HPSzN-031,20201231,1
C06747AVVHB-0031,20201213,1
C06747AVVHB-0031,20201220,1
C06747AVVHB-0031,20201225,1
C06747AVVHB-0031,20201226,1
C06747AVVHB-0031,20201227,1
C06747AVVHB-0031,20210101,1
C06747AVVHB-0031,20210103,1
